,order_id,customer_id,product,category,quantity,price_per_unit,order_date,country,date,time,month_name,total_revenue
0,1000,C081,Comic,Books,4,499.25,2024-11-14 13:46:19.774688,Italy,2024-11-14,13:46:19.774688,November,1997.0
1,1001,C102,Comic,Books,3,1521.91,2024-12-05 18:05:21.101399,France,2024-12-05,18:05:21.101399,December,4565.7300000000005
2,1002,C130,Headphones,Electronics,3,1665.02,2024-12-28 02:27:23.817143,France,2024-12-28,02:27:23.817143,December,4995.0599999999995
3,1003,C198,Smartphone,Electronics,3,121.76,2024-11-21 09:34:01.499363,Germany,2024-11-21,09:34:01.499363,November,365.28000000000003
4,1004,C137,Smartphone,Electronics,3,750.71,2025-04-14 03:07:54.143878,France,2025-04-14,03:07:54.143878,April,2252.13
5,1005,C167,Tablet,Electronics,2,557.1,2025-01-31 01:07:25.343913,Italy,2025-01-31,01:07:25.343913,January,1114.2
6,1006,C097,Tablet,Electronics,2,228.5,2025-01-26 13:43:48.992520,Netherlands,2025-01-26,13:43:48.992520,January,457.0
7,1007,C056,T-Shirt,Clothing,3,781.58,2025-04-19 08:23:14.068446,Italy,2025-04-19,08:23:14.068446,April,2344.7400000000002
8,1008,C132,Comic,Books,4,1200.95,2025-02-13 10:46:24.081574,Spain,2025-02-13,10:46:24.081574,February,4803.8
9,1009,C009,Smartphone,Electronics,1,21.74,2025-04-28 01:25:39.855245,Netherlands,2025-04-28,01:25:39.855245,April,21.74
10,1010,C184,Tablet,Electronics,5,1482.58,2024-11-05 21:57:38.109556,France,2024-11-05,21:57:38.109556,November,7412.9
11,1011,C192,Tablet,Electronics,1,15.83,2025-04-29 09:18:14.586006,Netherlands,2025-04-29,09:18:14.586006,April,15.83
12,1012,C097,Jacket,Clothing,2,1795.22,2025-02-07 04:43:58.817985,Italy,2025-02-07,04:43:58.817985,February,3590.44
13,1013,C115,Sneakers,Clothing,1,1499.73,2024-11-27 01:43:55.369284,Netherlands,2024-11-27,01:43:55.369284,November,1499.73
14,1014,C154,Smartphone,Electronics,1,644.54,2025-04-02 22:35:08.365693,Italy,2025-04-02,22:35:08.365693,April,644.54
15,1015,C172,Sneakers,Clothing,2,1111.69,2024-11-30 14:40:06.123429,Germany,2024-11-30,14:40:06.123429,November,2223.38
16,1016,C042,Jacket,Clothing,4,1214.15,2025-04-04 10:05:11.677555,Germany,2025-04-04,10:05:11.677555,April,4856.6
17,1017,C025,Novel,Books,3,1304.84,2024-12-16 02:20:48.530511,Netherlands,2024-12-16,02:20:48.530511,December,3914.5199999999995
18,1018,C027,Comic,Books,3,1425.74,2024-11-07 20:27:03.577570,Germany,2024-11-07,20:27:03.577570,November,4277.22
19,1019,C012,Smartphone,Electronics,2,484.93,2025-04-20 06:37:34.025325,Germany,2025-04-20,06:37:34.025325,April,969.86
20,1020,C178,Smartphone,Electronics,1,1238.08,2025-03-06 21:09:45.562016,France,2025-03-06,21:09:45.562016,March,1238.08
21,1021,C048,Tablet,Electronics,2,55.26,2025-02-15 09:09:37.074846,Spain,2025-02-15,09:09:37.074846,February,110.52
22,1022,C077,Blender,Home,3,651.72,2025-03-19 15:37:41.212991,Netherlands,2025-03-19,15:37:41.212991,March,1955.16
23,1023,C118,Blender,Home,2,1431.93,2024-11-08 04:57:22.762314,Spain,2024-11-08,04:57:22.762314,November,2863.86
24,1024,C179,Biography,Books,4,1858.53,2025-01-08 02:41:54.068754,France,2025-01-08,02:41:54.068754,January,7434.12
25,1025,C033,Sneakers,Clothing,5,1255.78,2025-04-09 01:28:19.017159,Germany,2025-04-09,01:28:19.017159,April,6278.9
26,1026,C021,Smartphone,Electronics,4,1725.37,2024-11-26 01:06:27.087607,France,2024-11-26,01:06:27.087607,November,6901.48
27,1027,C137,Jacket,Clothing,5,808.35,2024-12-25 20:45:33.864722,Germany,2024-12-25,20:45:33.864722,December,4041.75
28,1028,C129,Sneakers,Clothing,3,1043.98,2024-11-05 18:16:40.247451,Netherlands,2024-11-05,18:16:40.247451,November,3131.94
29,1029,C032,Tablet,Electronics,5,1973.23,2025-02-03 00:32:12.040671,Italy,2025-02-03,00:32:12.040671,February,9866.15
30,1030,C011,Tablet,Electronics,5,1116.1,2025-01-07 04:49:50.247436,France,2025-01-07,04:49:50.247436,January,5580.5
31,1031,C117,Biography,Books,2,1917.24,2024-11-19 11:36:08.028298,Netherlands,2024-11-19,11:36:08.028298,November,3834.48
32,1032,C163,Headphones,Electronics,2,354.93,2024-11-17 09:17:17.113445,Netherlands,2024-11-17,09:17:17.113445,November,709.86
33,1033,C020,T-Shirt,Clothing,1,1490.96,2024-11-29 18:25:03.815579,France,2024-11-29,18:25:03.815579,November,1490.96
34,1034,C120,Smartphone,Electronics,1,1578.72,2024-12-10 15:30:48.917822,Germany,2024-12-10,15:30:48.917822,December,1578.72
35,1035,C035,T-Shirt,Clothing,4,610.65,2024-12-31 15:31:14.186557,France,2024-12-31,15:31:14.186557,December,2442.6
36,1036,C134,Novel,Books,3,146.86,2025-04-30 15:58:27.776478,Netherlands,2025-04-30,15:58:27.776478,April,440.58000000000004
37,1037,C129,Jacket,Clothing,2,441.97,2024-12-06 05:40:54.868658,Italy,2024-12-06,05:40:54.868658,December,883.94
38,1038,C073,Comic,Books,2,1847.28,2025-01-19 22:58:30.704240,France,2025-01-19,22:58:30.704240,January,3694.56
39,1039,C062,Biography,Books,5,750.55,2024-11-09 05:00:05.214665,Italy,2024-11-09,05:00:05.214665,November,3752.75
40,1040,C173,Blender,Home,4,1987.69,2025-01-06 02:59:23.140724,France,2025-01-06,02:59:23.140724,January,7950.76
41,1041,C110,T-Shirt,Clothing,1,1247.95,2024-12-10 07:14:16.995462,Italy,2024-12-10,07:14:16.995462,December,1247.95
42,1042,C198,Textbook,Books,2,149.55,2025-02-04 06:51:52.164257,Italy,2025-02-04,06:51:52.164257,February,299.1
43,1043,C018,Novel,Books,1,1531.33,2025-01-12 06:06:46.584533,Germany,2025-01-12,06:06:46.584533,January,1531.33
44,1044,C004,Vacuum Cleaner,Home,1,997.97,2025-01-23 05:44:49.487958,Spain,2025-01-23,05:44:49.487958,January,997.97
45,1045,C194,Comic,Books,4,1791.77,2025-01-26 14:14:57.947950,Italy,2025-01-26,14:14:57.947950,January,7167.08
46,1046,C200,Blender,Home,2,56.7,2024-12-11 07:46:11.555559,Germany,2024-12-11,07:46:11.555559,December,113.4
47,1047,C182,Smartphone,Electronics,4,1167.64,2025-04-24 17:43:01.797923,Germany,2025-04-24,17:43:01.797923,April,4670.56
48,1048,C111,Blender,Home,5,299.83,2025-03-07 22:15:20.406126,Italy,2025-03-07,22:15:20.406126,March,1499.1499999999999
49,1049,C145,Comic,Books,4,828.83,2025-02-20 02:50:26.341405,Germany,2025-02-20,02:50:26.341405,February,3315.32
50,1050,C061,Vacuum Cleaner,Home,1,1827.12,2025-04-29 13:07:37.125102,Germany,2025-04-29,13:07:37.125102,April,1827.12
51,1051,C093,Sneakers,Clothing,3,361.25,2025-01-22 11:57:51.516900,France,2025-01-22,11:57:51.516900,January,1083.75
52,1052,C105,Novel,Books,5,1649.72,2024-11-26 19:24:37.872604,Italy,2024-11-26,19:24:37.872604,November,8248.6
53,1053,C064,Coffee Maker,Home,4,436.13,2024-11-25 05:21:41.390968,Netherlands,2024-11-25,05:21:41.390968,November,1744.52
54,1054,C011,Vacuum Cleaner,Home,1,1495.86,2025-04-28 08:27:17.919656,Italy,2025-04-28,08:27:17.919656,April,1495.86
55,1055,C076,T-Shirt,Clothing,4,1622.63,2024-12-22 20:24:55.362785,Italy,2024-12-22,20:24:55.362785,December,6490.52
56,1056,C100,Smartphone,Electronics,3,915.76,2025-03-04 08:19:25.675225,Italy,2025-03-04,08:19:25.675225,March,2747.2799999999997
57,1057,C010,Biography,Books,3,1164.55,2025-02-02 09:40:22.249934,France,2025-02-02,09:40:22.249934,February,3493.6499999999996
58,1058,C041,Headphones,Electronics,3,1857.59,2025-04-03 10:54:04.915632,Netherlands,2025-04-03,10:54:04.915632,April,5572.7699999999995
59,1059,C114,Headphones,Electronics,3,363.5,2025-01-19 00:25:34.911718,Germany,2025-01-19,00:25:34.911718,January,1090.5
